epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,58435.9,1.24782,1.17592,1.37836,0.59548,0.58421,0.56959,0.38478,1.28811,1.24084,1.4672,0.005842,0.005842,0.005842
44,59559.3,1.24976,1.16954,1.37845,0.59606,0.58408,0.5706,0.38572,1.28624,1.23671,1.46527,0.005743,0.005743,0.005743
45,60674.5,1.23514,1.15269,1.36802,0.59706,0.58284,0.57055,0.38624,1.28329,1.23489,1.46337,0.005644,0.005644,0.005644
46,61807.7,1.2402,1.15758,1.36716,0.59832,0.58263,0.57093,0.38732,1.28183,1.23084,1.46185,0.005545,0.005545,0.005545
47,62915.2,1.23759,1.15226,1.3669,0.60134,0.58254,0.57172,0.38803,1.2803,1.22882,1.4599,0.005446,0.005446,0.005446
48,63991.3,1.22994,1.14031,1.36351,0.60243,0.58119,0.57223,0.38869,1.27936,1.22708,1.4587,0.005347,0.005347,0.005347
49,65183.6,1.22507,1.1305,1.35585,0.60373,0.5815,0.57358,0.38907,1.27761,1.22549,1.45633,0.005248,0.005248,0.005248
50,66455.5,1.22277,1.13042,1.35983,0.60367,0.58324,0.57471,0.38989,1.27666,1.2241,1.45538,0.005149,0.005149,0.005149
51,67666.9,1.21961,1.1257,1.35416,0.60572,0.58252,0.57506,0.39048,1.27601,1.22329,1.45471,0.00505,0.00505,0.00505
52,1168.43,1.20645,1.10596,1.34554,0.60564,0.58386,0.57571,0.39077,1.27594,1.22209,1.45443,0.004951,0.004951,0.004951
53,2317.11,1.2181,1.12479,1.35191,0.602,0.58412,0.57513,0.39065,1.27576,1.22045,1.45387,0.004852,0.004852,0.004852
54,3442.56,1.21461,1.11854,1.35328,0.6019,0.58507,0.57579,0.39149,1.2756,1.21932,1.45372,0.004753,0.004753,0.004753
55,1125.26,1.18787,1.08043,1.33313,0.60385,0.58518,0.57606,0.39167,1.27259,1.21605,1.45252,0.004654,0.004654,0.004654
56,1121.12,1.17992,1.07349,1.3288,0.60548,0.58614,0.57624,0.39222,1.27284,1.21496,1.45252,0.004555,0.004555,0.004555
57,2318.63,1.20373,1.10395,1.34431,0.605,0.58656,0.57628,0.3925,1.27234,1.2142,1.45201,0.004456,0.004456,0.004456
58,3421.83,1.20719,1.10426,1.34878,0.60568,0.58563,0.57679,0.39266,1.27214,1.21357,1.45221,0.004357,0.004357,0.004357
59,4517.72,1.20628,1.10852,1.34744,0.60789,0.58511,0.57757,0.39324,1.27202,1.21264,1.45223,0.004258,0.004258,0.004258
60,5607.1,1.19937,1.09804,1.33787,0.60672,0.58618,0.57805,0.3937,1.27139,1.21262,1.45124,0.004159,0.004159,0.004159
61,6690.87,1.19778,1.09555,1.34167,0.60768,0.58672,0.57851,0.39399,1.27097,1.2118,1.45088,0.00406,0.00406,0.00406
62,7827.49,1.19267,1.08556,1.33484,0.60864,0.5882,0.57892,0.39446,1.2704,1.21121,1.45015,0.003961,0.003961,0.003961
63,8952.67,1.18958,1.08544,1.33368,0.60826,0.58755,0.57845,0.39476,1.2699,1.21037,1.4493,0.003862,0.003862,0.003862
64,10044,1.17839,1.07053,1.32433,0.60846,0.58843,0.57891,0.39492,1.26932,1.20969,1.44869,0.003763,0.003763,0.003763
65,11126.2,1.18394,1.07271,1.32592,0.60869,0.58821,0.57914,0.39534,1.26903,1.20843,1.44802,0.003664,0.003664,0.003664
66,12208,1.17829,1.05693,1.32256,0.61021,0.58907,0.57978,0.39586,1.26821,1.20748,1.44719,0.003565,0.003565,0.003565
67,1349.78,1.14032,1.02152,1.30335,0.60994,0.58906,0.57938,0.39576,1.26855,1.20684,1.44724,0.003466,0.003466,0.003466
68,2462.36,1.16422,1.05118,1.31788,0.60919,0.58946,0.57923,0.39589,1.2682,1.20616,1.44695,0.003367,0.003367,0.003367
69,3676.48,1.16718,1.04973,1.31893,0.60835,0.59068,0.57977,0.39613,1.26803,1.20556,1.44667,0.003268,0.003268,0.003268
70,4829.4,1.1689,1.05445,1.32165,0.61126,0.58899,0.58009,0.39619,1.26801,1.20512,1.44661,0.003169,0.003169,0.003169
71,5952.07,1.16364,1.04763,1.31444,0.61096,0.58901,0.58019,0.39659,1.26762,1.20475,1.44612,0.00307,0.00307,0.00307
72,7050.29,1.16352,1.04666,1.31695,0.61024,0.59022,0.58024,0.39702,1.26722,1.20435,1.44573,0.002971,0.002971,0.002971
73,8340.19,1.16073,1.04012,1.31325,0.60966,0.59081,0.58051,0.39712,1.26674,1.2037,1.4453,0.002872,0.002872,0.002872
74,1085.8,1.11721,0.99159,1.28838,0.61018,0.59103,0.58076,0.3973,1.26701,1.20339,1.4454,0.002773,0.002773,0.002773
75,2160.24,1.14066,1.01906,1.3037,0.61012,0.59072,0.58094,0.39728,1.26709,1.20263,1.44534,0.002674,0.002674,0.002674
76,3235.46,1.14594,1.02241,1.30505,0.60896,0.59159,0.58093,0.39734,1.26699,1.20173,1.44516,0.002575,0.002575,0.002575
77,4369.38,1.14796,1.02977,1.30679,0.61121,0.58948,0.58095,0.39737,1.26716,1.20113,1.44523,0.002476,0.002476,0.002476
78,5683.8,1.14732,1.02092,1.30263,0.60987,0.59075,0.58122,0.39763,1.26697,1.20076,1.44511,0.002377,0.002377,0.002377
79,6998.93,1.14531,1.02121,1.30584,0.61039,0.59083,0.58156,0.39795,1.26692,1.20014,1.44505,0.002278,0.002278,0.002278
80,8313.88,1.14159,1.01278,1.30063,0.6104,0.59121,0.58139,0.39821,1.26683,1.19962,1.44485,0.002179,0.002179,0.002179
81,9629.69,1.14268,1.01466,1.30148,0.61127,0.5916,0.58159,0.39826,1.26663,1.19888,1.44452,0.00208,0.00208,0.00208
82,10948.4,1.13419,1.0032,1.29364,0.6125,0.59172,0.58177,0.39844,1.2663,1.19846,1.44426,0.001981,0.001981,0.001981
83,12265.5,1.13648,1.00378,1.29439,0.61387,0.59091,0.58183,0.39851,1.2662,1.19776,1.44388,0.001882,0.001882,0.001882
84,13581.3,1.13151,0.99173,1.29066,0.61518,0.58975,0.58205,0.39862,1.26601,1.19707,1.44361,0.001783,0.001783,0.001783
85,14897.3,1.12285,0.98577,1.28643,0.61558,0.5903,0.58236,0.39877,1.26566,1.19665,1.44321,0.001684,0.001684,0.001684
86,16214.1,1.12513,0.99238,1.2873,0.61712,0.58921,0.58292,0.39899,1.26544,1.19577,1.44289,0.001585,0.001585,0.001585
87,17529.9,1.11833,0.97825,1.28128,0.61532,0.59082,0.58355,0.39908,1.26526,1.19531,1.44272,0.001486,0.001486,0.001486
88,18844.7,1.11026,0.96715,1.27622,0.61649,0.59163,0.58425,0.39936,1.2648,1.19496,1.44235,0.001387,0.001387,0.001387
89,20161,1.11255,0.96898,1.27662,0.6168,0.59141,0.58434,0.39971,1.2646,1.19417,1.44224,0.001288,0.001288,0.001288
90,21477.4,1.11206,0.96157,1.27609,0.61789,0.59154,0.58481,0.39993,1.26436,1.19348,1.44191,0.001189,0.001189,0.001189
91,22754.6,1.07826,0.87045,1.26622,0.61867,0.59034,0.58501,0.40041,1.26403,1.19282,1.44149,0.00109,0.00109,0.00109
92,24032.5,1.06639,0.84725,1.25497,0.6202,0.59044,0.58552,0.40059,1.26366,1.19202,1.44113,0.000991,0.000991,0.000991
93,25309.7,1.05535,0.84417,1.25234,0.62101,0.59043,0.58543,0.40078,1.26311,1.19103,1.44075,0.000892,0.000892,0.000892
94,26588.6,1.04756,0.82886,1.24707,0.62115,0.59032,0.58584,0.40112,1.26257,1.18992,1.44025,0.000793,0.000793,0.000793
95,27867.3,1.04331,0.82212,1.24413,0.62043,0.59101,0.58612,0.40156,1.26174,1.18931,1.43939,0.000694,0.000694,0.000694
96,29145.9,1.03775,0.8105,1.23702,0.62003,0.59174,0.58621,0.40166,1.26115,1.18842,1.4389,0.000595,0.000595,0.000595
97,30424.8,1.03529,0.80986,1.23376,0.61973,0.59289,0.58647,0.40202,1.26075,1.18724,1.43866,0.000496,0.000496,0.000496
98,31704.6,1.02661,0.79745,1.23053,0.61936,0.5933,0.58717,0.40271,1.26037,1.18625,1.43844,0.000397,0.000397,0.000397
99,33037.4,1.02243,0.79266,1.22621,0.62067,0.59344,0.58693,0.40293,1.26018,1.18546,1.43826,0.000298,0.000298,0.000298
100,34349.6,1.01578,0.78447,1.21956,0.6221,0.5921,0.5873,0.40349,1.25997,1.18453,1.43814,0.000199,0.000199,0.000199
